Sentiment,target_encoded,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,118,16,1432,988,6,72,2,435,304,46,73,106,88,9,461,36
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,60,188,1789,243,116,9,32,25,731,123,63,1,11,8,5,7
Positive,1,9,443,736,245,81,77,4,15,62,1432,48,6,99,4,2,79,120,44,24,73,8,5,7,3,3,10848,11,5152
Positive,1,1626,350,102,2,120,158,255,4,2,399,43,264,24,582,330,432,4,77,2,329,1,173,6,11,42,8,5,7
Positive,1,1247,15,439,262,267,542,4,78,15,1627,2,622,2142,18,439,1,3397,166,298,4752,63,20,522,639,78,8,5,7
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,40,1,373,13,12,46,265,69,8,5,7,143,70,2769
Negative,0,0,0,0,92,899,791,38,876,2,84,2,27,1444,346,30,3993,1840,522,3994,5153,2,65,820,1121,1122,6,310,12
Positive,1,3,3,9,149,1714,14,139,522,22,1,32,25,104,213,3,3,13,12,13,479,197,3398,545,1905,9638,8,5,7
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9639,179,32,25,1306,2,306,180,11,8,5,7
Positive,1,14,855,2228,222,1,174,480,6,2004,425,9,8693,6,600,522,10,21,35,794,186,30,54,3779,741,2,57,56,207
Positive,1,0,0,0,0,0,0,0,0,0,0,3310,454,7307,100,129,21,987,4,10,59,6784,4753,6,3310,454,8,5,7
Negative,0,229,184,989,22,184,78,3,3,3487,257,3,1383,11,454,3152,77,108,13,13,12,13,5154,2343,1415,3399,8,5,7
Positive,1,13,12,50,10,68,6,1172,176,49,315,119,1485,5155,5156,2,1970,24,9,3488,4578,64,1091,269,14,59,46,3235,339
Negative,0,9,3400,6,119,566,10,25,1123,290,733,189,533,20,3,1173,1,848,333,3401,24,100,313,6006,14,89,48,4579,11
Positive,1,0,0,0,0,0,4112,26,10,199,69,104,969,2427,273,16,266,508,4,1433,2619,23,14,172,177,1445,197,34,11
Positive,1,95,2,13,12,161,43,121,25,15,977,343,28,49,126,31,6,275,53,1008,10849,7979,10850,8,5,7,8,5,7
Negative,0,1600,641,1,2267,626,53,1,13,12,14,6785,7308,10,2004,29,94,375,6351,2,773,59,10851,34,29,145,18,57,56
Positive,1,41,392,4407,18,20,93,3,3,1,323,18,20,2204,898,129,38,103,111,4258,3,3,367,1112,4949,8694,8,5,7
Positive,1,0,10,1699,50,17,361,38,333,314,9,6352,840,3489,2,65,21,27,47,550,646,9,1264,369,9640,3,242,13,12
Positive,1,963,488,1841,7980,71,16,7981,69,22,1,32,25,60,16,17,1953,44,71,2082,2658,5,613,206,15,1,2698,412,1175
Positive,1,847,627,36,1015,395,2659,8695,40,2174,803,325,1545,53,2474,5694,803,3402,116,265,22,1906,106,8,5,7,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,0,0,990,2083,2620,5157,66,16,933,3694,2,2344,1861,63,1,289,280,13,12
Negative,0,7982,14,20,586,234,41,9641,105,2572,4,613,26,633,739,3780,20,2699,48,107,723,1431,13,12,11,1546,8,5,7
Negative,0,362,327,40,534,10,845,3,3,50,17,899,29,4113,2,76,44,21,204,221,9,4580,4114,4,177,2,3490,4,2061
Positive,1,258,1357,9,239,78,668,58,162,39,9,692,14,666,1,458,877,70,296,1,881,35,3311,748,281,38,1667,704,9642
Negative,0,0,0,0,0,0,0,0,0,3898,10853,7310,60,271,4,246,3695,83,1,11,96,6353,6354,237,8,5,7,143,2426
Positive,1,2893,17,16,551,2894,511,18,42,515,34,47,182,65,356,146,2429,2,3077,38,178,3312,6007,42,6008,13,12,11,121
Negative,0,1601,6,1,34,10,20,254,1,362,1601,219,10,197,344,3236,14,139,34,16,904,204,1,140,11,56,8,5,7
Positive,1,4,1,102,376,78,101,261,145,51,9,376,78,8692,360,347,82,4115,4,1,9643,2230,261,581,151,13,12,4,3696
Positive,1,991,214,693,382,410,14,997,3237,4116,14,294,1039,4,1014,18,27,56,226,33,632,3,3,8,5,7,8,5,7
Positive,1,486,4,1176,38,1218,585,63,1285,1973,4,11,1816,3238,2,41,112,142,21,25,2,270,41,76,6,62,8,5,7
Negative,0,1,32,25,35,55,731,80,492,9,230,47,295,60,118,5695,292,1954,47,534,1177,6,38,1051,6,1668,14,1613,7311
Positive,1,0,0,19,163,27,72,1862,1119,34,1104,9,1644,6,6786,45,16,39,30,1030,2,30,290,144,52,45,16,126,1030
Positive,1,4,3015,714,172,182,69,32,25,72,84,2,99,63,1,13,12,161,645,245,227,86,942,14,59,392,142,4,382
Positive,1,2835,15,239,705,657,82,662,6787,120,1403,2770,259,93,11,1265,10,40,332,587,488,2,3996,2,135,62,162,1563,78
Negative,0,4,3239,516,1149,3,253,1,11,161,57,56,51,94,10854,150,1349,6788,141,1,1299,398,18,1,2957,16,607,5,7
Negative,0,16,48,6,76,55,28,164,132,83,521,40,291,10,418,15,4259,53,43,1340,28,29,55,603,109,20,3,11,42
Positive,1,809,39,31,8696,52,19,70,198,17,2,132,26,45,29,304,59,23,58,164,141,84,87,62,47,422,10,41,568
Positive,1,10,54,110,260,463,1,419,363,80,7984,4409,2701,9,105,1076,350,137,20,171,14,1,1299,854,137,1232,54,36,2836
Positive,1,0,0,0,0,0,0,0,312,7985,500,37,1,103,111,35,111,1814,26,1509,6355,151,18,81,3,3,8,5,7
Negative,0,568,19,29,2,293,1133,4,19,232,39,22,37,2383,2,129,4,125,1461,998,16,37,126,10,76,13,12,1734,11
Negative,0,93,6,2112,3492,204,225,1,1114,154,80,8697,5696,113,9645,964,30,9,6356,19,80,444,1,80,6790,2113,8,5,7
Negative,0,30,9,1769,4260,10,1384,4754,80,1369,53,112,1358,2,130,888,4,2837,4755,6357,15,62,5159,2,1,604,8,5,7
Positive,1,0,0,0,0,0,9,282,149,247,29,291,48,6,1,11,3,446,244,23,4,395,1322,18,1,3,3,11,404
Positive,1,5160,3153,142,4,486,1134,18,1,1499,180,1,13,12,67,26,51,626,3598,4,4756,23,2,9646,4,420,2,31,4952
Positive,1,21,136,30,821,109,13,12,1092,2,304,46,1219,6,316,4,102,186,207,1510,845,11,42,8,5,7,8,5,7
Positive,1,94,266,4261,14,560,299,463,92,75,39,732,20,93,44,228,19,322,132,19,68,20,687,17,75,39,11,135,4261
Positive,1,1220,95,2,11,3,3,231,99,4,2,1,920,1009,700,2,359,3,3,2702,269,106,3,8,5,7,8,5,7
Positive,1,0,0,0,0,0,1,74,15,757,102,596,14,288,36,81,77,2,1486,2,79,289,1,11,3313,4410,8,5,7
Positive,1,1,67,33,1669,3,3,3596,6,795,46,2,79,17,509,1009,2,38,176,35,99,48,60,17,49,3,8,5,7
Positive,1,76,14,405,69,103,111,2268,10,38,2660,191,1,317,143,3,3,7312,143,13,12,5697,3,8,5,7,8,5,7
Negative,0,268,4584,58,19,49,3697,1,822,4,22,209,302,22,1,27,781,22,3698,223,89,64,192,260,211,1160,11,13,12
Negative,0,172,186,4,266,508,6,1,96,92,336,98,2,1245,2703,18,20,380,39,3079,1,2838,2384,6,4,33,296,2,130
Negative,0,2,129,55,351,1082,9,1434,27,10,1487,124,11,13,12,19,132,60,639,33,2,603,351,9,25,52,8,5,7
Positive,1,28,2144,1,1370,2,519,26,233,2308,150,1392,905,1955,10,1817,26,16,1500,2,37,226,43,503,2385,1614,181,1,1735
Negative,0,66,16,391,2,489,4,658,9647,36,71,17,361,871,3,3,130,122,58,506,633,37,10,20,381,13,2231,11,1734
Negative,0,304,59,23,53,299,4,268,10,20,78,83,599,174,15,743,24,11,1547,1383,19,1615,17,2,133,749,280,98,3
Positive,1,1371,13,12,434,60,2,281,477,36,980,900,4,1481,53,375,1,815,1159,53,1,906,765,1291,3,3,8,5,7
Positive,1,2386,4,106,2,435,1,304,73,14,21,1172,10,4954,4113,4,7986,54,605,18,43,13,12,488,907,22,8,5,7
Negative,0,0,0,0,0,21,15,1,166,172,878,68,811,4262,1511,1,965,2,435,1,921,73,63,13,12,8,5,7,3
Positive,1,0,0,0,5161,8699,3,40,79,91,76,44,21,14,20,13,12,161,4,204,243,1616,1385,4,117,1416,14,41,1372
Positive,1,0,2,120,17,6791,14,1,1617,137,1083,131,17,190,547,7313,18,3699,45,291,44,24,86,215,4411,2115,8,5,7
Positive,1,1686,95,2,73,14,21,316,35,679,212,186,30,393,76,44,18,178,180,1,11,67,3,8,5,7,8,5,7
Positive,1,1564,2029,33,1669,536,1039,9,461,6,485,551,2573,1751,658,44,128,35,525,32,25,56,302,8,5,7,8,5,7
Positive,1,2,129,304,73,14,59,1488,272,3,3,1135,162,43,1548,474,47,2430,45,1104,2,29,21,597,3,3,8,5,7
Negative,0,0,0,45,365,2387,48,138,796,1,74,2345,122,444,2,107,85,314,841,3016,18,60,45,40,744,15,2895,1,237
Positive,1,2959,10,1,383,430,24,1,237,122,515,53,13,12,633,10,5163,30,234,286,123,9,1736,2,38,1323,303,10,3782
Positive,1,0,0,0,0,0,0,9,7987,1357,1222,1151,2,79,2003,1,887,73,278,18,21,1359,101,6,13,12,159,17,7987
Positive,1,1,183,1151,2,332,85,128,275,204,133,57,56,69,283,35,3017,14,1,99,33,145,79,10,158,255,1547,5164,11
Positive,1,27,2145,33,24,21,285,14,1,259,171,391,1,1687,14,1,259,390,116,127,31,774,714,2,582,1,3241,13,12
Negative,0,17,164,842,10,3,9,32,25,3,13,12,13,12,13,42,1105,11,1052,3,1,330,585,15,153,130,90,3403,330
Negative,0,184,62,52,45,16,145,122,1152,18,1,1125,538,2,2116,93,1061,6,119,100,10855,33,6361,9,282,11,4757,13,12
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,43,57,56,820,53,1350,682,4,39,492
Positive,1,151,309,2117,7988,4412,23,20,1816,2205,166,3081,548,10856,14,1,3242,4,418,408,47,408,139,134,2425,2,2232,42,11
Positive,1,0,0,0,0,2,1436,882,210,18,105,244,154,4758,6,244,23,3,3,438,1688,3404,1863,5407,108,6362,8,5,7
Positive,1,7989,30,28,65,2896,2,9,630,368,4,28,363,388,538,2661,10857,126,219,362,2,84,36,1,1907,194,18,1,4956
Positive,1,0,0,0,0,0,0,0,0,0,0,0,65,104,272,22,1,279,23,87,15,3,5699,13,12,438,8,5,7
Negative,0,0,0,0,0,0,89,150,171,100,4,126,55,103,111,10,1,127,442,2771,7990,13,12,11,135,1106,8,5,7
Negative,0,520,9,3405,1266,18,501,4759,2,65,34,214,293,465,7991,45,16,468,200,18,462,186,434,54,64,60,17,49,636
Positive,1,279,81,77,1417,10,454,3,3,256,62,1500,23,205,1341,3,3,315,74,18,6010,6010,3,3,716,11,8,5,7
Positive,1,267,4,257,153,148,32,56,4,83,17,65,85,1018,450,213,6,1062,4263,998,14,2431,20,171,3,3,8,5,7
Negative,0,0,0,39,439,4,8700,16,260,725,2310,3,1531,2269,207,51,1,404,53,701,1,23,6,59,178,3,7317,11,2389
Positive,1,11,394,481,8,5,7,143,3,20,15,1,651,118,9,394,274,10858,51,64,45,116,291,99,4,129,71,162,69
Negative,0,0,0,0,0,0,0,0,0,1163,384,10,454,29,291,131,109,513,4,23,53,1248,10,1,202,93,464,109,2207
Negative,0,3702,916,6,28,16,1627,2,191,2,519,45,16,371,2,1202,141,1,166,298,913,63,20,96,434,54,64,43,4264
Positive,1,3,223,286,26,1,1300,241,10,1,1715,40,1174,205,23,14,146,1447,4,29,10859,383,48,59,3,3,8,5,7
Positive,1,131,2,2523,173,6,13,12,2432,1602,2,263,251,1,237,3,3,193,122,6,34,47,898,249,1,46,116,291,197
Positive,1,0,0,0,0,0,0,147,94,82,4413,2,1324,679,1481,36,192,811,6,241,10,189,19,232,9,46,1040,13,12
Positive,1,3994,35,101,17,1529,166,6,43,56,185,1115,29,2,84,48,2175,14,266,212,6,74,1716,11,1864,494,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10860,1393,18,2773,178,180,13,12,61,90,8,5,7,21
Negative,0,1974,775,36,13,12,2567,116,31,266,212,6,1325,956,216,843,4,1486,2,615,245,286,34,203,84,2433,36,359,1385
Negative,0,0,0,0,0,0,1975,1603,23,14,514,1737,97,512,2,9,450,464,200,24,73,14,511,180,1463,14,13,12,2118
Negative,0,157,51,626,97,23,2,3315,97,8702,952,16,701,148,97,1467,4,241,1436,227,11,42,13,12,157,1308,8,5,7
Positive,1,16,286,59,917,16,6792,24,13,12,3,52,1717,16,563,37,170,126,22,99,83,1,1326,1882,3243,26,137,236,2
Negative,0,10,1,168,1738,13,12,11,1082,119,1116,3,3,776,5700,2270,14,54,410,3,3,42,3493,11,77,66,8,5,7
Negative,0,0,0,0,0,13,12,51,745,56,22,3406,4,3599,127,52,57,56,15,377,604,51,667,82,3703,9649,14,1267,6364
Positive,1,0,0,0,0,0,0,0,0,0,3407,104,279,1629,2,533,1,173,6,13,12,10,38,2119,25,3,8,5,7
Negative,0,4956,2,2476,125,156,36,85,63,1,13,12,358,28,40,31,774,43,46,4,339,167,176,24,4760,5166,4760,5701,4
Positive,1,0,0,0,45,203,1174,10861,14,1565,18,2704,6365,46,1771,576,15,1976,4,193,3,11,160,1646,13,299,8,5,7
Positive,1,6,81,1136,2,1,306,393,2,123,286,45,151,93,33,1327,326,91,3783,10,9,78,6,1386,87,15,2384,108,1905
Positive,1,212,72,169,72,27,72,1234,353,4265,353,9650,1630,2346,679,5409,856,272,4,284,19,29,3784,10862,108,3,494,3,711
Positive,1,2425,2,21,128,30,27,738,16,216,2840,2,291,53,339,240,1418,16,1277,105,689,2,120,1126,30,1309,10,1,3155
Positive,1,1,25,93,566,982,3,3,978,4,123,286,37,1404,571,59,2114,253,28,29,82,2084,1819,1173,3,3,479,156,121
Positive,1,2524,275,26,10863,1,3785,6,413,983,2524,1931,24,1,46,332,2774,9,743,1044,53,2524,38,8703,196,1310,1842,35,3019
Negative,0,39,31,371,2,34,66,68,2,31,101,23,14,93,9651,6,1,2705,36,2,20,15,54,110,1111,201,1566,13,12
Positive,1,0,0,0,0,0,0,0,0,0,0,0,4761,6011,1084,22,1865,2,79,3994,1164,63,67,8,5,7,8,5,7
Negative,0,2961,3494,8704,4,2146,5167,2,278,9,3998,18,1616,4,330,8705,10,335,2,1,11,96,4,3020,360,1700,8,5,7
Negative,0,14,10,25,56,450,213,171,4957,4119,45,116,31,343,37,381,47,22,441,745,2,57,1449,35,658,2347,114,2574,208
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,27,1931,55,230,55,3600,943,8,5,7
Positive,1,0,0,0,0,0,0,0,0,0,0,1019,2,293,373,13,12,399,81,761,39,70,39,210,199,69,9,429,46
Positive,1,39,31,54,110,882,456,369,896,6,1462,3594,1,23,6,102,3316,6,81,470,2030,31,2147,10,6793,6,104,23,12
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,645,60,832,1,6366,2775,1,1034,9652,510,10,20,604,15,889,3601
Positive,1,172,1075,4,1278,23,2898,81,77,846,2,66,88,8706,1301,4,3156,4,3157,179,2,1,2271,317,4,144,18,172,5410
Positive,1,12,161,1,4266,14,21,382,22,8707,2271,2525,8708,4,999,10864,4,452,2,79,226,669,352,8,5,7,8,5,7
Negative,0,4120,70,702,28,16,977,729,101,6,13,12,28,170,444,2,1820,14,851,803,1739,28,16,187,20,2,3704,1,2176
Negative,0,32,25,15,48,6,103,111,4,34,22,545,16,743,109,33,69,9,2699,9,2699,109,545,1249,93,7993,3,13,12
Positive,1,0,0,0,0,0,0,9,1116,51,94,14,1070,22,4119,2,6367,462,72,18,1,867,6,1,161,221,48,54,106
Negative,0,22,127,61,90,3999,466,26,123,33,331,14,1548,474,4,317,2085,4121,2,76,815,45,68,2,922,4,59,445,1450
Negative,0,2031,6,1,965,2272,16,659,629,148,1204,24,82,7994,18,1,769,1932,2899,2,1670,1,173,6,13,12,8,5,7
Positive,1,119,399,81,2662,24,471,1701,100,497,165,224,5702,152,81,6368,20,558,6,178,40,79,74,2,289,280,11,7321,5169
Positive,1,0,0,0,0,0,0,0,0,0,19,236,2,1,27,113,39,341,94,14,9,464,4,193,33,80,82,862,11
Negative,0,0,0,0,0,0,0,4763,4,1,1117,6,765,1268,23,16,1793,314,603,45,16,74,3,183,13,12,8,5,7
Positive,1,127,480,708,808,426,2233,2841,4,7322,320,2,117,9,1279,6,1406,2,123,9,14,2431,418,1618,2706,61,90,1406,11
Negative,0,1842,8709,34,58,30,39,2,753,54,61,90,1,962,225,21,7308,10,56,3595,39,4,56,3595,1,56,3595,16,251
Positive,1,0,0,216,10,2,9,27,113,752,14,9,566,3245,1514,69,83,19,80,1197,4,219,10,2,9,2227,488,11,816
Negative,0,6,1,6369,157,813,2,6795,95,2,11,21,345,10,817,16,1348,9,697,10,73,54,18,8,5,7,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,15,4,138,26,15,1532
Positive,1,40,126,3,43,766,4408,18,1,1972,10,3,8,5,7,3,518,8,5,7,14,54,3,6796,2962,2273,8,5,7
Positive,1,38,25,15,126,251,16,17,638,14,38,382,4,198,38,25,2,357,2,281,1,176,4,38,2430,608,42,11,121
Negative,0,3,141,10,9,220,67,87,16,497,34,320,2,2473,9,5411,334,447,2,13,12,16,1,414,1162,3,8,5,7
Negative,0,327,101,19,2478,1549,4,473,803,214,98,196,1,161,4,45,4122,41,1859,50,803,2086,5,1329,204,71,380,33,1329
Positive,1,0,0,0,0,0,0,105,2842,3409,77,4958,3410,2208,119,152,9653,179,1125,8,5,7,11,13,12,42,8,5,7
Positive,1,0,0,0,0,0,0,0,0,0,498,6,160,234,62,89,2,1,32,25,69,20,13,12,32,7995,8,5,7
Negative,0,34,856,10,1513,9654,16,1631,226,20,172,1330,4,623,283,2,1,317,4,773,1,1671,1010,757,14,1225,8,5,7
Positive,1,1,290,1533,1950,1,3603,1772,183,1375,1,32,25,4,102,172,167,275,72,17,16,187,9,231,360,19,1053,20,11
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,1107,4123,661,374,3159,3,1567,27,10865,3,502
Positive,1,4,738,20,171,14,125,66,16,39,371,2,84,652,50,17,16,4415,47,3018,306,29,3082,142,1490,92,776,7323,2270
Positive,1,54,110,134,84,2,99,4,4764,1292,134,84,2,1,32,25,340,91,3495,17,50,28,68,2,75,54,28,40,12
Positive,1,0,0,0,0,0,0,0,0,0,0,0,2842,3693,77,1752,861,2208,5703,153,1752,896,8,5,7,11,13,12,42
Negative,0,2,7996,271,24,10866,2776,981,160,1331,334,183,4,54,447,2,13,12,3,434,64,1,414,140,447,334,8,5,7
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,32,56,116,401,1306,22,797,30,193,11,608,1165
Negative,0,0,0,0,0,0,0,0,0,0,10867,624,42,13,12,50,284,4959,2,270,23,14,91,204,19,40,1978,41,1407
Positive,1,21,4,102,693,1437,104,177,1250,10868,7997,3705,1468,4,763,6,479,497,10,76,36,222,1,174,4,4259,140,179,12
Positive,1,10869,40,370,2,165,43,5170,2148,6,412,2,370,1498,18,13,12,447,923,107,153,48,87,8,5,7,10870,11,7998
Positive,1,2,191,1,237,36,1,2234,10,23,35,1,20,4765,5,31,82,6799,7324,50,33,1251,33,4765,5,291,24,10871,4961
Negative,0,354,24,1,1360,6,4000,517,694,110,13,12,8710,6012,6370,192,854,137,175,54,110,4268,2,6371,1,3246,27,45,70
Negative,0,10,1,101,185,1035,1045,14,13,12,70,93,1347,223,7999,9,883,6372,53,1137,50,19,3901,44,37,797,192,797,19
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,25,731,10,3706,775,113,122,4124,24,443,1358,702,1351
Negative,0,91,185,70,788,23,20,397,24,9,4586,6,136,62,26,34,2658,5,1015,185,88,51,2,4587,181,100,4,100,3496
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1903,8000,182,10,1020,609,389,14,11,8,5,7
Negative,0,432,178,180,142,96,1619,5412,4,7325,133,5705,36,2314,26,51,39,304,23,14,160,2269,11,92,2120,17,1754,2269,207
Negative,0,0,0,0,290,14,857,47,963,22,1500,1568,3,315,74,18,3318,363,1535,1587,6800,3,359,11,3902,10872,8,5,7
Negative,0,67,636,2,2,38,112,21,1394,21,1394,15,200,4,151,2,421,194,18,302,101,45,365,435,1,73,8,5,7
Negative,0,31,2962,331,10,21,128,5413,6373,26,145,151,4766,13,12,535,1205,58,17,155,65,924,4,267,563,22,85,18,73
Positive,1,293,1119,3903,22,1,112,27,62,45,386,5,29,2,1000,1,3904,24,59,264,19,29,145,1883,93,14,964,120,153
Positive,1,24,46,483,3787,68,2,1794,4,3083,680,10,256,2,2523,2479,3905,4,281,59,1866,3,8,5,7,11,1408,855,3788
Positive,1,3497,10,681,166,398,16,551,2177,873,658,44,4,128,55,437,1795,6801,15,467,72,153,35,665,2526,243,8,5,7
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2434,36,1,557,6,9,6,10873,471,8,5,7
Positive,1,38,1548,29,81,77,50,1,115,16,1077,10,38,2660,4,44,1158,842,38,11,368,2,2350,8,5,7,11,13,12
Positive,1,0,0,0,0,0,2178,348,4,305,432,4,8,5,7,432,1701,11,13,12,1885,1546,208,13,4269,438,4417,3,5706
Negative,0,103,111,55,1042,55,575,55,647,55,5171,4588,55,1604,55,1361,55,4589,55,1689,55,4,55,2777,8711,20,15,320,108
Positive,1,3789,1671,14,37,6,262,3789,296,62,3498,103,111,4,102,405,30,1331,14,272,3,3,13,12,11,135,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,20,15,624,9,586,737,6013,3412,217,8713,6,53,1647,4582,24,69,624,3412,12
Positive,1,231,716,265,55,707,20,650,15,231,1115,1818,38,264,48,69,1,32,25,470,605,10,4001,9655,1933,11,8,5,7
Negative,0,8002,27,10,105,4002,180,1,11,67,51,94,10,30,185,13,12,609,1955,3,11,3,54,8,5,7,8,5,7
Positive,1,2179,184,3414,58,265,19,221,33,58,1226,60,37,104,7327,1738,1,318,81,77,26,497,94,106,37,6,9,2121,11
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,923,36,1103,1249,2005,10,1464,199
Negative,0,6,878,483,26,2032,349,2435,10,86,32,25,10874,6374,2575,71,29,17,349,47,431,26,51,94,1409,14,38,317,11
Positive,1,158,2844,272,20,15,1,1821,355,6,1,3790,88,760,120,98,10,1022,1063,24,310,272,4,32,25,72,83,551,303
Positive,1,0,223,1740,2,65,150,9,27,184,62,4,221,964,3245,785,134,9,2707,572,91,4,1,390,10,394,3,3,208
Negative,0,44,5694,14,2845,513,463,150,1,777,17,170,22,209,6,1702,849,54,110,1,367,3,1,168,15,126,970,4,4126
Positive,1,10,93,171,142,212,72,908,353,4,32,25,1093,2963,54,344,110,4270,4962,4418,4,102,3408,5707,3,2480,3791,8003,11
